County,2018,Jan18,Feb18,Mar18,Apr18,May18,Jun18,Jul18,Aug18,Sep18,Oct18,Nov18,Dec18
Snyder,10.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0
Somerset,31.0,5.0,1.0,5.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0
Sullivan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Susquehanna,13.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
Tioga,7.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
Union,9.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0
Unknown,29.0,4.0,1.0,4.0,3.0,0.0,2.0,5.0,1.0,0.0,1.0,3.0,5.0
Venango,29.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,0.0,2.0,5.0,0.0,5.0
Warren,13.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0
Washington,84.0,5.0,5.0,6.0,9.0,7.0,6.0,7.0,9.0,7.0,7.0,9.0,7.0
Wayne,25.0,0.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0
Westmoreland,184.0,14.0,13.0,23.0,21.0,13.0,5.0,20.0,18.0,12.0,13.0,11.0,21.0
Wyoming,9.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0
York,237.0,24.0,19.0,16.0,28.0,18.0,18.0,21.0,18.0,23.0,22.0,12.0,18.0
