Week Begin Date,County Name,County Code,County FIPS Code,Latitude/Longitude,Total Intakes,Georeferenced Lat/Long
7/10/17,Lehigh,39,42077,"(40.6146479416, -75.6009948118)",4,POINT (-75.6009948118 40.6146479416)
2/5/18,Forest,27,42053,"(41.5135787577, -79.2378099483)",0,POINT (-79.2378099483 41.5135787577)
2/13/17,Butler,10,42019,"(40.9108318483, -79.9171177889)",0,POINT (-79.9171177889 40.9108318483)
6/26/17,Forest,27,42053,"(41.5135787577, -79.2378099483)",0,POINT (-79.2378099483 41.5135787577)
8/13/18,Warren,62,42123,"(41.8167523652, -79.278581578)",0,POINT (-79.278581578 41.8167523652)
11/19/18,Adams,1,42001,"(39.8720956503, -77.2222427076)",1,POINT (-77.2222427076 39.8720956503)
10/8/18,Allegheny,2,42003,"(40.4673554298, -79.9861984282)",21,POINT (-79.9861984282 40.4673554298)
8/6/18,Lawrence,37,42073,"(40.9932503514, -80.3375411446)",0,POINT (-80.3375411446 40.9932503514)
2/11/19,Tioga,59,42117,"(41.7733383358, -77.2578807579)",0,POINT (-77.2578807579 41.7733383358)
5/14/18,Lancaster,36,42071,"(40.0459079619, -76.2513876838)",3,POINT (-76.2513876838 40.0459079619)
5/15/17,Cumberland,21,42041,"(40.167598388, -77.268662705)",1,POINT (-77.268662705 40.167598388)
9/4/17,Bucks,9,42017,"(40.335011331, -75.1129124111)",3,POINT (-75.1129124111 40.335011331)
11/28/16,Huntingdon,31,42061,"(40.4161050032, -77.9827661036)",0,POINT (-77.9827661036 40.4161050032)
1/1/18,Union,60,42119,"(40.9647313096, -77.0641580308)",0,POINT (-77.0641580308 40.9647313096)
2/26/18,Berks,6,42011,"(40.4193963513, -75.9307732705)",3,POINT (-75.93077327050001 40.4193963513)
11/28/16,Adams,1,42001,"(39.8720956503, -77.2222427076)",0,POINT (-77.2222427076 39.8720956503)
5/29/17,Clarion,16,42031,"(41.1927912877, -79.4248360769)",0,POINT (-79.4248360769 41.1927912877)
1/9/17,Montgomery,46,42091,"(40.209898739, -75.3725200072)",5,POINT (-75.3725200072 40.209898739)
7/8/19,Potter,53,42105,"(41.7442064382, -77.8987922939)",0,POINT (-77.8987922939 41.7442064382)
1/21/19,Wyoming,66,42131,"(41.5189248803, -76.0181300338)",1,POINT (-76.0181300338 41.5189248803)
7/2/18,Schuylkill,54,42107,"(40.707512431, -76.223323851)",2,POINT (-76.223323851 40.707512431000005)
9/11/17,Westmoreland,65,42129,"(40.3103149985, -79.471341176)",5,POINT (-79.471341176 40.3103149985)
4/16/18,Carbon,13,42025,"(40.9193670081, -75.7110703866)",3,POINT (-75.7110703866 40.9193670081)
3/26/18,Bradford,8,42015,"(41.7911781401, -76.5182562384)",0,POINT (-76.5182562384 41.7911781401)
3/5/18,Blair,7,42013,"(40.4855502384, -78.349076871)",1,POINT (-78.349076871 40.4855502384)
7/15/19,Unknown,0,,,0,
12/12/16,Jefferson,33,42065,"(41.1313909115, -79.0010181419)",0,POINT (-79.0010181419 41.1313909115)
12/5/16,Northumberland,49,42097,"(40.8515092572, -76.7118842273)",0,POINT (-76.7118842273 40.8515092572)
7/17/17,Delaware,23,42045,"(39.9165786652, -75.4062771212)",8,POINT (-75.40627712120002 39.9165786652)
8/14/17,Unknown,0,,,2,
6/18/18,Greene,30,42059,"(39.8548039342, -80.2294381655)",0,POINT (-80.2294381655 39.8548039342)
6/4/18,Bucks,9,42017,"(40.335011331, -75.1129124111)",5,POINT (-75.1129124111 40.335011331)
3/11/19,Allegheny,2,42003,"(40.4673554298, -79.9861984282)",10,POINT (-79.9861984282 40.4673554298)
8/20/18,Columbia,19,42037,"(41.0491208559, -76.4100217975)",2,POINT (-76.4100217975 41.0491208559)
12/11/17,Luzerne,40,42079,"(41.1783643884, -75.991996098)",1,POINT (-75.991996098 41.178364388400006)
6/4/18,Clinton,18,42035,"(41.2328627374, -77.6428376046)",0,POINT (-77.6428376046 41.2328627374)
6/18/18,Erie,25,42049,"(41.9941378702, -80.0407591036)",1,POINT (-80.0407591036 41.9941378702)
12/26/16,Crawford,20,42039,"(41.6854690692, -80.1132108295)",0,POINT (-80.1132108295 41.6854690692)
6/17/19,Fulton,29,42057,"(39.9248751086, -78.1148504535)",0,POINT (-78.1148504535 39.9248751086)
4/22/19,Sullivan,57,42113,"(41.4480993958, -76.5147922046)",0,POINT (-76.5147922046 41.4480993958)
11/20/17,Bedford,5,42009,"(40.0073753643, -78.4911647381)",0,POINT (-78.4911647381 40.0073753643)
7/2/18,Sullivan,57,42113,"(41.4480993958, -76.5147922046)",0,POINT (-76.5147922046 41.4480993958)
4/2/18,Tioga,59,42117,"(41.7733383358, -77.2578807579)",0,POINT (-77.2578807579 41.7733383358)
8/14/17,Carbon,13,42025,"(40.9193670081, -75.7110703866)",4,POINT (-75.7110703866 40.9193670081)
11/12/18,Warren,62,42123,"(41.8167523652, -79.278581578)",0,POINT (-79.278581578 41.8167523652)
8/19/19,Erie,25,42049,"(41.9941378702, -80.0407591036)",4,POINT (-80.0407591036 41.9941378702)
3/19/18,Armstrong,3,42005,"(40.8150952555, -79.4731689893)",1,POINT (-79.4731689893 40.8150952555)
7/31/17,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",1,POINT (-76.4618257486 40.3675970024)
5/13/19,Indiana,32,42063,"(40.6529549748, -79.0933349286)",0,POINT (-79.0933349286 40.6529549748)
3/19/18,Mercer,43,42085,"(41.302377765, -80.2600941079)",3,POINT (-80.26009410790002 41.302377765)
